21502949	rs4752194	Brain		-5.202040	
21935397	rs2115706	Extremely|Overweight|Body Mass Index		-5.221849	
23509962	rs315122	Venous Thrombosis		-1000.000000	
19557197	rs2365642	Distribution|Adiposity|Waist Circumference		-5.387216	
21502949	rs1602517	Brain		-5.221849	
22470424	rs688858	Amyotrophic Lateral Sclerosis		-5.130768	
23509613	rs4959119	Antiphospholipid Antibodies		-1000.000000	
20932310	rs1445093	Τ Protein Levels		-6.110698	
20661308	rs17666460	Serum Calcium		-5.317855	
23776548	rs2281827	Arterioles		-6.449772	
24688116	rs13114426	Longevity|Analysis|Population		-5.675718	
21552555	rs9937053	Obesity|Obesity-Related Traits		-10.806875	
23646285	rs11854769	Hypersomnia		-6.174574	
19197348	rs16874905	Complex Disease		-5.004365	
23326517	rs10033900	Age-Related Macular Degeneration		-9.387216	
23509613	rs502771	Antiphospholipid Antibodies		-1000.000000	
19343178	rs3131296	Stature		-5.113509	
21044948	rs2736990	Parkinson's Disease		-6.866461	
22087292	rs17037864	Femoral Neck Bone Geometry		-5.405607	
22216198	rs11906160	Protein C	protein c	-5.850781	
24740154	rs8064701	Prostate Cancer|Early-Onset		-5.318759	
18823527	Rs3754675	Late-Onset Alzheimer's Disease		-5.244125	
21298027	rs4317904	Celiac Disease|Crohn's Disease		-5.728158	
24483146	rs7719624	Biomarkers		-5.374688	
23297363	rs233716	Tetralogy Fallot		-8.074172	
25436638	rs9915657	Serum Thyroid Stimulating Hormone		-12.123205	
23565137	rs10898417	Late-Onset Alzheimer’s Disease		-5.931814	
21980299	rs9268645	Type 1 Diabetes		-135.404504	
20932310	rs121724	Τ Protein Levels		-6.838632	
21347282	rs16982414	Coronary Heart Disease	Smoking	-6.221849	
19936222	rs983309	Cholesterol|Plasma Lipoprotein Size		-8.420216	
24166486	rs10275045	Schizophrenia		-7.665546	
23636237	rs11725988	Analysis		-5.167491	
21448238	rs986222	Migraine		-5.472370	
19343178	rs3767141	Stature		-6.920819	
23028483	rs26310	Asthma		-5.148742	
25364816	rs7083364	Diabetic Retinopathy		-5.000000	
22368281	rs11053045	LDL-c Response|Lpa		-6.872895	
22843504	rs600695	Autism Spectrum		-6.446360	
24086445	rs7746324	Schizophrenia|Quantitative Phenotype|Matter Volume		-5.562249	
21738487	rs10737170	Parkinson's Disease		-1000.000000	
21980494	rs2066865	Venous Thrombosis		-9.931814	
23958962	rs6912117	Cocaine Dependence		-6.295849	
24348519	rs1421085	Body Mass Index		-8.085657	
25310577	rs17133807	Acute Lymphoblastic Leukemia|Childhood		-9.714443	
22087292	rs4507747	Femoral Neck Bone Geometry		-5.634512	
20463881	rs7277820	Eye Color	C HS1	-7.853872	
22693455	rs6567160	Obese|Type 2 Diabetes		-6.744727	
24324551	rs12582717	Chagas Cardiomyopathy|Trypanosoma Cruzi Seropositive	Cardio	-6.638272	
22479191	rs2453580	Kidney|Follow-Up		-8.677781	
19557197	rs11857639	Distribution|Adiposity|Waist Circumference		-5.096910	
19412175	rs3768716	Neuroblastoma		-8.496209	
23900074	rs6060627	Telomere Length|Cancer		-6.190440	
22085899	rs12206204	Bilirubin Levels		-6.096910	
22368281	rs1619785	LDL-c Response|Lpa		-6.892790	
24513273	rs1183201	Serum Uric Acid		-13.517126	
21738479	rs2072910	White Blood Cell Count|Cell Phenotypes|White Blood Cell	Neutrophils	-9.522879	
23509962	rs1423386	Venous Thrombosis		-1000.000000	
22941191	rs2499663	Neuroblastoma		-6.795880	
22941191	rs2499667	Neuroblastoma		-6.920819	
24094242	rs2236653	Serum Alkaline Phosphatase Levels		-8.744727	
21935397	rs4836133	Extremely|Overweight|Body Mass Index		-8.698970	
20686608	rs6973850	Pancreatic Cancer		-6.202732	
24755620	rs8106922	Glutamate|Alzheimer's Disease		-24.931814	
22368281	rs395908	LDL-c Response|Lpa		-6.460924	
21390209	rs10402271	Late-Onset Alzheimer's Disease		-6.832683	
19197348	rs12531984	Complex Disease	Thyroid Stimulating Hormone	-5.346787	
23056639	rs17223788	Lectin		-5.782516	
19197348	rs10518224	Complex Disease		-5.173925	
22470424	rs7242525	Amyotrophic Lateral Sclerosis		-5.221849	
21156761	rs6972219	Rheumatoid Arthritis		-5.752027	
23886662	rs20541	Psoriasis|Atopic Dermatitis|Asthma		-7.747147	
18823527	Rs16916856	Late-Onset Alzheimer's Disease		-5.107905	
23326239	rs10947262	Antibodies|Epstein-Barr Virus Nuclear Antigen		-7.910095	
23001564	rs412658	Homeostasis		-7.478862	
19197348	rs17321515	Complex Disease		-16.397940	
21124946	rs9525613	Bone Mineral Density		-5.698970	
22085899	rs4236644	Bilirubin Levels		-5.698970	
23936387	rs12144971	Celiac Disease		-7.424812	
23509613	rs2734573	Antiphospholipid Antibodies		-1000.000000	
18483556	rs8028689	Hair Color|Skin Pigmentation		-6.823909	
23326239	rs9267947	Antibodies|Epstein-Barr Virus Nuclear Antigen		-7.349692	
24483146	rs28668016	Biomarkers		-5.277366	
23667675	rs9391253	Age Menarche		-5.913640	
23509613	rs3129934	Antiphospholipid Antibodies		-1000.000000	
25390645	rs10016872	Anxiety		-5.401209	
20585627	rs17565953	Common Traits	Eye color	-1000.000000	
23966867	rs1355187	Body Fat Distribution	WC_pooled	-6.318759	
21552555	rs10891096	Obesity|Obesity-Related Traits		-5.987163	
24324551	rs7387094	Chagas Cardiomyopathy|Trypanosoma Cruzi Seropositive	PCR	-6.309804	
25140149	rs4866650	Neurodegeneration|Biomarker		-8.869666	
23936387	rs4842007	Celiac Disease		-5.065502	
22843504	rs29456	Autism Spectrum		-6.911510	
21738487	rs1491942	Parkinson's Disease		-1000.000000	
23350875	rs11996339	Colorectal Cancer		-7.013363	
22144915	rs4864872	Corneal Astigmatism		-5.906578	
21980494	rs10029715	Venous Thrombosis		-8.962574	
23636237	rs12912584	Analysis		-5.399027	
22452962	rs704010	Breast Cancer		-8.397940	
22396660	rs12669187	Nephrolithiasis		-5.982967	
24714607	rs10879509	Chronic Mucus Hypersecretion		-5.156145	
22238593	rs3775045	Type 2 Diabetes		-5.677781	
20038947	rs6930508	Major Depression		-5.325139	
21390209	rs2927488	Late-Onset Alzheimer's Disease		-5.543634	
21390209	rs4846486	Late-Onset Alzheimer's Disease		-5.632644	
22792082	rs10940113	Asthma|Bronchodilator Response		-5.259637	
20548944	rs6588313	Osteoporosis-Related Traits|Gene Expression Profiling	LSBMD, women	-5.312471	
18483556	rs10861741	Hair Color|Skin Pigmentation		-5.744727	
23509613	rs9275618	Antiphospholipid Antibodies		-1000.000000	
24483146	rs2290344	Biomarkers		-6.317855	
24068947	rs7182874	Brain		-8.061480	
22428042	rs518394	Glaucoma|Optic-Nerve		-9.236572	
20585627	rs1827430	Common Traits	Green eyes	-1000.000000	
19300500	rs973796	Chronic Obstructive Pulmonary Disease Copd|Pulmonary Function		-5.146302	
23326239	rs2395185	Antibodies|Epstein-Barr Virus Nuclear Antigen		-10.596879	
23307926	rs10183486	Menopause		-11.657577	
23326239	rs2854008	Antibodies|Epstein-Barr Virus Nuclear Antigen		-7.471083	
18840781	rs7529353	Type 1 Diabetes		-10.570248	
22570617	rs3217992	Optic Nerve|Glaucoma		-9.756962	
22719876	rs1010023	Non-Alcoholic Fatty Liver Disease|Liver Disease		-8.823909	
20661308	rs6111021	Serum Calcium		-5.077794	
19300482	rs11219732	Chronic Obstructive Pulmonary Disease Copd|Pulmonary Function		-5.349692	
20838585	rs1552257	Cardiovascular Disease	insulin	-6.124939	
23509962	rs318497	Venous Thrombosis		-1000.000000	
19812673	rs16910194	Autism		-5.431798	
22666496	rs1524962	Cardiovascular Event		-5.447332	
24023777	rs11598564	Adolescent Idiopathic Scoliosis		-11.010105	
24094242	rs174601	Serum Alkaline Phosphatase Levels		-8.585027	
23667675	rs3862645	Age Menarche		-5.684030	
22760553	rs13423450	Global Disease|Depression|Citalopram-Induced Side Effects		-6.120904	
19772629	rs12261736	Parkinson Disease|Onset		-5.136677	
23966867	rs2907512	Body Fat Distribution	WC_men	-6.040959	
23989986	rs1577792	Hip|Osteoarthritis		-7.136677	
23382691	rs8007846	Immunoglobulin G|Human Immunoglobulin|-Glycosylation		-5.045757	
19798445	rs4695267	Sphingolipid		-6.251812	
24755620	rs8103315	Glutamate|Alzheimer's Disease		-7.728158	
20522523	rs9341799	Partial Epilepsies		-6.316953	
23844046	rs1892534	C-Reactive Protein		-6.910095	
20421936	rs2783963	Onset|Obesity-Related Traits|Body-Weight		-5.061480	
25241909	rs2298019	Chronic Obstructive Pulmonary Disease|Chronic Bronchitis		-5.866461	
19798445	rs4459477	Sphingolipid		-15.091515	
22470424	rs6075164	Amyotrophic Lateral Sclerosis		-5.552842	
21738487	rs1876828	Parkinson's Disease		-1000.000000	
21273288	rs10845158	NT-proBNP		-5.060481	
24449572	rs1047022	Rheumatoid Arthritis		-6.193820	
20585627	rs4911442	Common Traits	Freckling	-1000.000000	
21738491	rs11970286	Sudden Cardiac Death	QT	-1000.000000	
20585627	rs7170451	Common Traits	Eye color	-1000.000000	
22792071	rs10274324	Bone Mineral Density|Bone|Osteoporotic Fracture		-7.417937	
23870195	rs4977575	Coronary Artery|Coronary Artery Calcification		-18.003051	
23509613	rs3131379	Antiphospholipid Antibodies		-1000.000000	
24025145	rs7919725	Chemotherapy-Induced Alopecia|Breast Cancer		-6.002614	
23056639	rs4876386	Lectin		-5.600326	
20585627	rs4778220	Common Traits	Eye color	-1000.000000	
19056611	rs901130	Type 2 Diabetes		-5.698970	
25352737	rs769056	Cataract		-5.469800	
24324551	rs1497042	Chagas Cardiomyopathy|Trypanosoma Cruzi Seropositive	EF	-6.346787	
22685421	rs4373767	Ocular Axial Length|High Myopia		-6.358526	
20585627	rs17305657	Common Traits	Freckling	-1000.000000	
23958962	rs200085570	Cocaine Dependence		-8.539102	
22368281	rs10844779	LDL-c Response|Lpa		-6.841638	
24571439	rs1567010	Specific Language Impairment|Genotype Effects		-5.003051	
23509962	rs4823535	Venous Thrombosis		-1000.000000	
24025145	rs9416306	Chemotherapy-Induced Alopecia|Breast Cancer		-5.640165	
23936387	rs1871350	Celiac Disease		-5.071092	
25436638	rs4804416	Serum Thyroid Stimulating Hormone		-9.500313	
25188341	rs11771145	Dementias|Alzheimer's Disease		-12.958607	
23382691	rs968451	Immunoglobulin G|Human Immunoglobulin|-Glycosylation		-9.000000	
20395239	rs17231602	Optic Disc Size	Disc	-7.455932	
19197348	rs16996148	Complex Disease		-7.522879	
23636237	rs1350036	Analysis		-7.764472	
18604267	rs500498	Antigen|Icam-1		-13.214670	
19772629	rs1420143	Parkinson Disease|Onset		-5.136677	
22470424	rs2276695	Amyotrophic Lateral Sclerosis		-5.376751	
24892410	rs6696698	Onset|Hypertension|Cardiovascular Events	Nighttime pressure	-6.565431	
25233373	rs7744813	Myopia|Hyperopia		-5.216811	
23509962	rs13050454	Venous Thrombosis		-1000.000000	
24047820	rs12115663	Social Communication		-5.387216	
21876539	rs2470893	Cyp1A2		-7.621602	
20932310	rs12203791	Τ Protein Levels		-6.010550	
23382691	rs886774	Immunoglobulin G|Human Immunoglobulin|-Glycosylation		-7.522879	
23667675	rs7759938	Age Menarche		-5.950782	
23936387	rs2046000	Celiac Disease		-5.025949	
23509962	rs6497540	Venous Thrombosis		-1000.000000	
23509613	rs1548515	Antiphospholipid Antibodies		-1000.000000	
25147783	rs7893634	Ischemic Stroke|Vitamin|Folate Levels		-6.141463	
22509378	rs13209281	Sexual Dysfunction	Arousal	-6.079407	
20038947	rs10187367	Major Depression		-5.266001	
23509613	rs1548513	Antiphospholipid Antibodies		-1000.000000	
19448621	rs12611091	Age Menarche|Menopause		-9.180456	
22719876	rs2896019	Non-Alcoholic Fatty Liver Disease|Liver Disease		-9.823909	
23593239	rs10753804	Self-Employment		-5.406714	
23984888	rs614664	Airway Responsiveness		-5.221849	
21935397	rs11640537	Extremely|Overweight|Body Mass Index		-5.004365	
23636237	rs11640535	Analysis		-5.429457	
23509962	rs2771051	Venous Thrombosis		-1000.000000	
25628645	rs4531814	Homoharringtonine		-5.008774	
23297363	rs11066320	Tetralogy Fallot		-7.537602	
24483146	rs7713001	Biomarkers		-5.607303	
21750679	rs4958881	Systemic Sclerosis		-5.237321	
